4380,1564.59
6941,1274.86
3836,1333.775
3883,1324.47
4967,1282.46
5349,1237.515
4002,1452.545
3799,1383.75
3887,1378.27
4193,1497.805
7108,1377.265
6197,1441.565
4180,1228.23
5673,1484.205
4212,1437.46
4012,1320.285
4757,1411.815
5041,1411.645
5220,1311.885
3501,1403.825
5298,1532.055
3547,1401.375
3565,1142.745
4933,1615.775
3288,1336.52
4878,1273.72
2812,1109.37
4906,1464.195
5505,1464.485
4649,1507.14
5331,1520.095
4577,1332.08
5795,1417.825
4929,1600.35
4383,1349.18
3560,1351.075
4584,1298.79
5303,1623.4
3973,1370.57
5433,1187.395
4832,1425.005
4367,1320.92
5618,1414.93
7056,1286.68
5678,1883.385
4374,1375.39
4825,1210.495
5742,1268.6
4176,1406.41
4850,1330.23
