x,y
0.1730102,48.0522196
0.5867318,48.1174852
0.7563722,48.1751099
0.2990934,48.0095733
0.5817262,48.116068
-0.1179552,47.8723329
0.1690747,48.0511346
0.1689825,48.0512902
0.3024104,48.0074631
0.2974393,47.8182446
0.3023325,48.0074239
0.1638194,48.0495325
0.1634036,48.0493777
0.1634819,48.049216
0.163905,48.0493796
0.131785,48.0229724
0.1276887,48.0185467
0.1329582,48.0254946
0.1275087,48.018582
0.1291786,48.0198718
0.1313183,48.0223039
0.1304463,48.0214192
0.1311902,48.022342
0.1576502,48.0468519
0.1436252,48.0378948
0.145055,48.0387373
0.1437539,48.0378336
-0.1128289,48.0101089
-0.3339578,48.0057967
-0.1145761,48.0102497
-0.3340096,48.0048144
-0.114617,48.010149
-0.1128201,48.0099812
0.3004503,48.0078537
0.3001077,48.0093062
0.3003267,48.0077973
0.2999871,48.0092717
0.1721702,48.0583926
0.1740811,48.0784705
-0.1178356,47.8719952
-0.1178356,47.872388
-0.1179625,47.8719482
-0.1296661,47.841633
0.2643059,48.0517817
0.264454,48.0518679
0.2068608,48.0520557
0.1591542,48.047375
0.1441904,48.0382895
0.1741841,48.0784025
0.1422702,48.0788295
0.2067572,48.0519587
0.20595,48.0583474
0.2058542,48.05821
0.2920172,48.0141236
0.2941467,48.0368548
0.2941072,48.03782
0.2943561,48.036864
0.1999278,48.0576722
0.3972218,47.6596764
0.3972573,47.659767
0.3976704,47.6464446
0.3855119,47.6597565
0.3854395,47.6596648
0.4768817,47.6462156
0.3722994,47.6616807
0.4768575,47.646325
0.3848628,47.6613944
0.3849326,47.661473
0.4776142,47.6444077
0.3976999,47.6465558
0.1399526,48.3112303
0.1176412,48.3114075
0.1401354,48.3103591
0.1140486,48.3997586
0.1093467,48.3939521
0.1141029,48.3998046
0.1106438,48.3957475
0.1145107,48.4000702
0.1110155,48.3960617
0.1141769,48.3997135
0.1107339,48.3957083
0.1170587,48.3263049
0.1411418,48.2959932
0.1175156,48.3162279
0.1529662,48.2956619
0.1169586,48.3262102
0.1528269,48.2956261
0.438793,48.0717585
0.4382993,48.0717305
0.4384094,48.0716193
-0.1295345,47.8415929
-0.1307187,47.840547
-0.1306029,47.8405081
-0.2512983,47.7115021
-0.251171,47.7115047
0.2922337,48.0141186
0.2956433,48.0139425
0.295789,48.0139769
0.2957707,48.0107294
0.1563458,48.2062531
0.152953,48.2817632
0.2938172,48.0424561
0.4812577,48.0773961
0.438673,48.0718623
0.4811879,48.0775109
0.4817039,48.0775432
0.5818331,48.1159692
0.5623942,48.1096042
0.5618892,48.1094767
0.5812855,48.1157454
0.562147,48.1094129
0.5811421,48.1158633
0.5614605,48.1092432
0.4815943,48.0776443
0.1722957,48.0580395
0.1144377,48.4001615
0.0964086,48.3266565
0.0962428,48.326548
0.2685025,48.0492889
0.2648684,48.049406
0.2985881,48.0103425
0.2958924,48.0107742
0.2986982,48.0103906
0.2989737,48.0095349
0.1484982,48.041274
0.712471,48.1557112
0.712391,48.1558078
0.5865631,48.1176371
0.712798,48.1558472
0.1989418,48.0573966
0.1999875,48.0575545
0.1990013,48.0575357
0.1704028,48.051687
0.174908,48.2033038
0.1750576,48.2038301
0.1683088,48.1848515
0.1747751,48.2034283
0.3721733,47.6616048
0.3023626,47.6917731
0.371307,47.6743761
0.3711809,47.6743537
0.0530982,47.9563935
0.169516,48.0514409
0.1756251,48.2059095
0.1754803,48.2060459
0.1749312,48.2039793
0.1412561,48.2959504
0.1392012,48.3113823
0.1759993,48.05747
0.1337696,48.3151269
0.1134509,48.3991216
0.1351637,48.3119547
0.1079826,48.3917536
0.1109162,48.3960966
0.2857048,48.0499625
0.2946246,48.0503165
0.1954081,48.0567868
0.1684068,48.1847788
0.1679342,48.1842325
0.1678375,48.1843081
0.1421409,48.0788296
0.2925977,48.047711
0.2929645,48.0467101
0.2941674,48.0377399
0.2913446,48.0485079
0.3030136,48.0015179
-0.1206782,47.8522249
0.156232,48.281433
0.156104,48.2813847
0.1562182,48.2063687
0.1530897,48.2817824
0.0530635,47.978569
0.1670566,48.1835013
0.1631806,48.1805725
0.1635001,48.1806404
0.1671647,48.1834425
0.1642765,48.1812598
0.163314,48.1806488
0.1633548,48.1805595
0.1644073,48.1812169
0.1673016,48.1835808
0.1671915,48.1836363
0.1645258,48.1812989
0.1643962,48.1813427
0.4775927,47.64451
0.1443118,48.0382198
0.1696089,48.0512927
0.1913675,48.0561153
0.1927965,48.0563942
0.1280805,48.0188598
0.1316391,48.02301
0.0544587,47.9820258
0.0559813,47.9830222
0.0533338,47.9811151
0.0494159,47.9782128
0.0483444,47.9773543
0.0571552,47.9836474
0.1401079,48.3112711
0.1402903,48.3105856
0.2878451,48.0501166
0.2647316,48.0504008
0.7127183,48.1559472
0.7203931,48.1596768
0.2933807,48.0451022
0.6881166,48.1485402
0.6898085,48.1491209
-0.2021935,47.7806388
-0.2088803,47.7775175
-0.2104816,48.0026032
-0.2138502,48.0027203
0.3028975,47.9991164
0.3137631,47.9516533
0.3166311,47.9542435
0.3022369,47.6897991
0.2975495,47.8180056
0.3618632,47.6773875
0.3633141,47.6773675
0.128648,48.0195507
0.1278991,48.0188893
